form_key,form_name,form_version,runtime_path,xml_path,label,field_class,canonical_question_id,source_question_id,mapping_status,role,dimensions,component_ids,json_type,type_source,type,xsd_source,xsd_sha256,source_version,published_coverage_eligible
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].participant_trainee_support_costs.other.description,RR_Budget_3_0.BudgetYear.ParticipantTraineeSupportCosts.Other.Description,5. Other,question,concept:budget:line:description,question:sha256:d9db81c4cc7269cc3dde4a9f5ef70ff87356cfa2573793894eef31f06c1d0bd5,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.alterations_renovations,RR_Budget_3_0.BudgetYear.OtherDirectCosts.AlterationsRenovations,7. Alterations and Renovations,question,concept:budget:other-direct:alterations-renovations,question:sha256:d424621139468df9d14c879e5f5dd22c10e45bb459d503e3956d8e53b76346df,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.adp_computer_services,RR_Budget_3_0.BudgetYear.OtherDirectCosts.ADPComputerServices,4. ADP/Computer Services,question,concept:budget:other-direct:computer-services,question:sha256:dd39b3878655050617137f9a0a55d16667724f0fa092d0ed8cdd9242c2f9b443,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.consultant_services,RR_Budget_3_0.BudgetYear.OtherDirectCosts.ConsultantServices,3. Consultant Services,question,concept:budget:other-direct:consultant,question:sha256:32fcec38d0a96080c6755fb6f754a62de9f7110099478943ba9236f3c7aedb5e,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.equipment_rental_fee,RR_Budget_3_0.BudgetYear.OtherDirectCosts.EquipmentRentalFee,6. Equipment or Facility Rental/User Fees,question,concept:budget:other-direct:equipment-rental,question:sha256:7667d782f53fd910d3b323a48de6b9e45012f181c624b938922414d3ab9267c7,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.materials_supplies,RR_Budget_3_0.BudgetYear.OtherDirectCosts.MaterialsSupplies,1. Materials and Supplies,question,concept:budget:other-direct:materials-supplies,question:sha256:18058bdb7ea3f12618ed9fc14a4c49473316eac3148a3ee710a15b499b3812df,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.publication_costs,RR_Budget_3_0.BudgetYear.OtherDirectCosts.PublicationCosts,2. Publication Costs,question,concept:budget:other-direct:publication,question:sha256:120b91762a5d481405c0b9ea1fbce0292fd70839d9d4664fa9ef04a405528886,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_direct_costs.subaward_consortium_contractual_costs,RR_Budget_3_0.BudgetYear.OtherDirectCosts.SubawardConsortiumContractualCosts,5. Subawards/Consortium/Contractual Costs,question,concept:budget:other-direct:subaward-contractual,question:sha256:3b7c3678353c47f10c340e71ed26a7aee05afad8ba7fb7c049c232d5e56637a0,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].budget_period_end_date,RR_Budget_3_0.BudgetYear.BudgetPeriodEndDate,End Date:,question,concept:budget:period:end-date,question:sha256:3da68056e85947646b8c11f66a27fa9a96996173b00caa8d7ca567f206e7468b,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].budget_period_start_date,RR_Budget_3_0.BudgetYear.BudgetPeriodStartDate,Start Date:,question,concept:budget:period:start-date,question:sha256:346b1cd9185e2aed58ae7607f041b4130fb557990030dbb1d6b6fa5af417a17e,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].key_persons.key_person[].academic_months,RR_Budget_3_0.BudgetYear.KeyPersons.KeyPerson.AcademicMonths,Senior/Key Person Academic Months,question,concept:budget:personnel:academic-months,question:sha256:8bba63e64e91536964da8cfba3128f1555557806c4f6603c73f491d0cd11f5fb,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_personnel.graduate_students.academic_months,RR_Budget_3_0.BudgetYear.OtherPersonnel.GraduateStudents.AcademicMonths,Academic Months Graduate Students,question,concept:budget:personnel:academic-months,question:sha256:a7f527c90c600ec682a5954777230fc5fb2e7760513aef915effd864d8f0ae91,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_personnel.other[].academic_months,RR_Budget_3_0.BudgetYear.OtherPersonnel.Other.AcademicMonths,Academic Months Additional Project Role,question,concept:budget:personnel:academic-months,question:sha256:7314058afca0ca32241852b8228ad1c81ad01d3622bca6501d57be279e92fe3f,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_personnel.post_doc_associates.academic_months,RR_Budget_3_0.BudgetYear.OtherPersonnel.PostDocAssociates.AcademicMonths,Academic Months Post Doctoral Associates,question,concept:budget:personnel:academic-months,question:sha256:ef80423fb6b7889093f2747a63a1def846e0ac17e87f8e0a24339a2aed551f47,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_personnel.secretarial_clerical.academic_months,RR_Budget_3_0.BudgetYear.OtherPersonnel.SecretarialClerical.AcademicMonths,Academic Months Secretarial/Clerical,question,concept:budget:personnel:academic-months,question:sha256:1d758529c84b04bb6ff985165ddd6fdb3cbf722d3d924962242c909d5481ef8b,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].other_personnel.undergraduate_students.academic_months,RR_Budget_3_0.BudgetYear.OtherPersonnel.UndergraduateStudents.AcademicMonths,Academic Months Undergraduate Students,question,concept:budget:personnel:academic-months,question:sha256:34b1ec770a1a4c9160d216ea7ae7e3be0d8550c64900a43a814b8899bf45e8ea,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
RRBudget,[Draft] Research & Related Budget,3.0,budget_year[].key_persons.key_person[].base_salary,RR_Budget_3_0.BudgetYear.KeyPersons.KeyPerson.BaseSalary,Senior/Key Person Base Salary,question,concept:budget:personnel:base-salary,question:sha256:2a68fe5613e427e4f3dd8caa46b443fb1289885a030e98a2509758419aaa880b,agent_proposed,,,,string,,,https://apply07.grants.gov/apply/forms/schemas/RR_Budget_3_0-V3.0.xsd,d474010f85819549990de65fc51292bed08ba98ac0895d0dde9513fbe855cdbc,,false
