semantic_identity,question_id,role,proposed_form_count,accepted_form_count,published_form_count
question:budget:budgetyear-otherdirectcosts-equipmentrentalfee::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-equipmentrentalfee,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-equipmentrentalfee::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-equipmentrentalfee,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-equipmentrentalfee::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-equipmentrentalfee,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-materialssupplies::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-materialssupplies,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-materialssupplies::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-materialssupplies,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-materialssupplies::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-materialssupplies,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost1-cost::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost1-cost,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost1-cost::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost1-cost,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost1-cost::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost1-cost,subaward_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost1-description::role:applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost1-description,applicant_budget,2,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost1-description::role:multi_project_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost1-description,multi_project_applicant_budget,1,0,0
question:budget:budgetyear-otherdirectcosts-otherdirectcost1-description::role:subaward_applicant_budget,question:budget:budgetyear-otherdirectcosts-otherdirectcost1-description,subaward_applicant_budget,1,0,0
